cab_id,entropy,total_records,unique_locations,most_frequent_location,location_diversity,entropy_quartile,segment
ancyclsu,10.71550875377535,19978,3973,37.616_-122.386,0.19886875563119433,Q3,Medium Mobility
andyol,10.685708250076637,24703,3974,37.616_-122.386,0.16087114925312715,Q2,Medium Mobility
aniajcr,10.749138033203863,24791,4524,37.758_-122.410,0.1824855794441531,Q3,Medium Mobility
anidgib,10.893537913100966,22742,4441,37.616_-122.386,0.19527746020578665,Q4 (High),High Mobility (Explorer)
ankped,10.873667227347854,22999,4294,37.785_-122.400,0.18670376972911865,Q4 (High),High Mobility (Explorer)
ansyut,10.213367404539841,24722,3887,37.752_-122.394,0.15722837958094005,Q1 (Low),Low Mobility (Routine)
anucks,10.771922817872447,21732,3767,37.752_-122.395,0.17333885514448738,Q3,Medium Mobility
anupwr,10.867325460847852,14864,3958,37.785_-122.400,0.26628094725511303,Q4 (High),High Mobility (Explorer)
apigcyd,10.81250179796539,24491,4148,37.751_-122.395,0.16936833938998,Q3,High Mobility (Explorer)
appsri,10.4750646654159,15008,3216,37.752_-122.394,0.21428571428571427,Q2,Low Mobility (Routine)
apsskyul,10.619052724928984,22959,3716,37.769_-122.416,0.16185373927435864,Q2,Medium Mobility
aquawaw,10.580154781750004,23646,3917,37.751_-122.395,0.16565169584707773,Q2,Medium Mobility
arcksy,10.849471315293915,27517,4347,37.752_-122.395,0.157975069956754,Q3,High Mobility (Explorer)
arcuim,10.107147184613456,21522,3758,37.751_-122.395,0.17461202490474864,Q1 (Low),Low Mobility (Routine)
arcurbig,10.880635915797576,24630,4267,37.751_-122.395,0.1732440113682501,Q4 (High),High Mobility (Explorer)
arhilby,10.983606095586481,25601,4554,37.752_-122.395,0.17788367641888989,Q4 (High),High Mobility (Explorer)
arlwras,10.867026991468258,24846,4460,37.616_-122.386,0.17950575545359415,Q4 (High),High Mobility (Explorer)
arphaud,10.876793996856243,23230,3947,37.743_-122.425,0.16990959965561775,Q4 (High),High Mobility (Explorer)
artgagvu,10.923037244862673,23462,4275,37.616_-122.386,0.18220953030432188,Q4 (High),High Mobility (Explorer)
ascley,10.84545330512989,25465,4424,37.752_-122.395,0.17372864716277242,Q3,High Mobility (Explorer)
ashgati,10.837021085992681,12296,3237,37.616_-122.386,0.26325634352635,Q3,High Mobility (Explorer)
